cz_isco_code,role_label_en,role_label_cs,p25,p50,p75,p90
1330,ICT services manager,Manažer v oblasti ICT,101894,147726,205856,291149
2511,Systems analyst,Systémový analytik,68382,91532,118359,152122
2512,Software developer,Vývojář software,71536,101103,141956,184858
2513,Web and multimedia developer,Vývojář webu a multimédií,65246,90617,120847,143550
2514,Application programmer,Aplikační programátor,65737,87817,120752,163463
2519,Software developer NEC,Vývojář software jinde neuvedený,58784,83431,116865,167039
2521,Database designer/administrator,Návrhář a správce databází,63485,85937,118617,149592
2522,Systems administrator,Systémový administrátor,58440,77127,103873,133137
2523,Computer network professional,Specialista počítačových sítí,59666,83065,110652,140316
2529,Database and network professional NEC,Specialista DB a sítí jinde neuvedený,69887,90974,119235,159500
3511,ICT operations technician,Technik provozu ICT,42038,55524,74812,105263
3512,ICT user support technician,Technik uživatelské podpory ICT,46078,60069,80726,111599
3513,Computer network technician,Technik počítačových sítí,42893,56711,76802,100171
3514,Web technician,Webový technik,23058,42641,55931,81096
